,CA_1,CA_2,CA_3,CA_4,WI_1,WI_2,WI_3,TX_1,TX_2,TX_3
Linear Regression,219.5436584378595,318.9323503719182,261.5307274357793,140.04224959737422,239.65729166666674,448.49774051644346,238.31981588828796,222.73378129054672,246.05217317382812,261.0584085761914
LSTM,472.42984999999993,838.3251933333333,731.2952166666669,493.05149666666665,807.7882833333333,1244.0435666666667,588.2103433333333,544.2697666666667,582.1262133333333,495.25334
Vector Autoregression,786.444667995691,927.857101985206,778.8902703651023,273.2007398278273,657.5077079432566,912.8930856102262,709.1629876671574,463.40644993686107,458.4656968313747,461.9958026507463
