,CA_1,CA_2,CA_3,CA_4,WI_1,WI_2,WI_3,TX_1,TX_2,TX_3
Linear Regression,73822.09505001054,179505.07578446934,115815.67697405608,31683.482520341906,109191.91632351714,314066.76388633903,116288.89517497987,95062.31020824621,98894.44184539469,113887.67324785456
LSTM,385612.04158323834,1158957.4957964465,680988.8264962749,358928.0558441336,858990.2869721504,2450991.635569045,571245.6030974297,426787.3617802194,491277.168205114,353488.49296088336
Vector Autoregression,1039418.8888758927,1494680.0798113318,873641.9998861176,120171.54398963042,682407.3545088808,1435097.7744413582,801448.8265900085,366838.9969436912,372688.6893977688,335393.91313361324
