,CA_1,CA_2,CA_3,CA_4,WI_1,WI_2,WI_3,TX_1,TX_2,TX_3
Linear Regression,271.70221760230544,423.6803934388153,340.31702422014695,177.99854639951954,330.4420014518692,560.416598510732,341.01157630640614,308.3217640846105,314.4748667944621,337.4724777635275
LSTM,620.9766836067505,1076.5488822141085,825.2204714476459,599.1060472438361,926.8172888828469,1565.5643185666454,755.8079141537416,653.2896461602766,700.9116693315314,594.5489828104018
Vector Autoregression,1019.5189497384994,1222.5710939701346,934.68818323873,346.657675509472,826.0795085879329,1197.955664639288,895.2367433198932,605.6723511467989,610.4823415937342,579.1320342837316
