,CA_1,CA_2,CA_3,CA_4,WI_1,WI_2,WI_3,TX_1,TX_2,TX_3
Linear Regression,0.9130111619113235,0.8624575189169819,0.8613795492204879,0.6900975581301514,0.8272277132018674,0.660848547459443,0.7915879831543641,0.7058509599550964,0.6986391737207853,0.5382632660719024
LSTM,0.5456110609214748,0.11197001675316087,0.18492055159448806,-2.5107466766091484,-0.3591639492602161,-1.6467537127514382,-0.023781746972449724,-0.3205979582858758,-0.4970678895570344,-0.4331544193172667
Vector Autoregression,-0.2248073069381713,-0.14527127271573836,-0.04566714116998849,-0.17542176437662982,-0.07976014283916744,-0.5497198389182307,-0.43635010115849493,-0.135101162233924,-0.13569346553786543,-0.359793256050176
